Player,Encoded_Value
A Raghuvanshi,0
Abdul Basith,1
Abdul Samad,2
Abhishek Sharma,3
Abishek Porel ,4
Adam Zampa,5
Adil Rashid,6
Agarwal,7
Aiden Markram (c),8
Ajinkya Rahane,9
Akash Deep,10
Akash Madhwal,11
Akeal Hosein,12
Alzarri Joseph,13
Aman Khan,14
Ambati Rayudu,15
Andre Russell,16
Anmolpreet Singh ,17
Anrich Nortje,18
Anshul Kamboj,19
Anuj Rawat ,20
Anukul Roy,21
Arjun Tendulkar,22
Arshad Khan,23
Arshdeep,24
Atharva,25
Avesh Khan,26
Axar Patel (c),27
Azmatullah,28
B Sai Sudharsan,29
Badoni,30
Bairstow,31
Ben Stokes,32
Bhuvneshwar Kumar (c),33
Cameron Green,34
Chauhan,35
Chetan Sakariya,36
Chris Jordan,37
Daryl Mitchell,38
David Warner (c),39
David Wiese,40
David Willey,41
Deepak Chahar,42
Devdutt Padikkal,43
Devon Conway,44
Dewald Brevis,45
Dhruv Jurel,46
Dinesh Karthik ,47
Donovan Ferreira,48
Ellis,49
Faf du Plessis (c),50
Fazalhaq Farooqi,51
Gerald Coetzee,52
Gill,53
Glenn Maxwell,54
Glenn Phillips ,55
Gowtham,56
Gulbadin Naib,57
Hardik Pandya (c),58
Harpreet Brar,59
Harpreet Singh,60
Harry Brook,61
Harshal Patel,62
Heinrich Klaasen ,63
Hooda,64
Hrithik Shokeen,65
Ishan Kishan ,66
Ishant Sharma,67
J Fraser,68
Jacks,69
Jason Behrendorff,70
Jason Holder,71
Jason Roy,72
Jasprit Bumrah,73
Jaydev Unadkat,74
Jhye Richardson,75
Joe Root,76
Johnson,77
Jos Buttler,78
Josh Hazlewood,79
KM Asif,80
Karn Sharma,81
Kedar Jadhav,82
Keshav Maharaj,83
Krunal,84
Kuldeep Yadav,85
Kulkarni,86
Kumar Kartikeya,87
Kumar Kushagra,88
Lalit Yadav,89
Livingstone,90
Lizaad Williams,91
Luke Wood,92
M Nabi,93
MS Dhoni (c),94
MW Short,95
Mahipal Lomror,96
Manish Pandey,97
Mankad,98
Manohar,99
Marco Jansen,100
Mayank Markande,101
Mayers,102
Michael Bracewell,103
Miller,104
Mitchell Marsh,105
Mitchell Santner,106
Mitchell Starc,107
Moeen Ali,108
Mohammed Siraj,109
Mohit,110
Mohsin Khan,111
Mukesh Kumar,112
Mustafizur Rahman,113
Nalkande,114
Naman Dhir,115
Narayan Jagadeesan ,116
Naveen,117
Nehal Wadhera,118
Nitish Kumar Reddy,119
Nitish Rana (c),120
Nonchalantly,121
Noor Ahmad,122
Pat Cummins (c),123
Patidar,124
Phil Salt ,125
Piyush Chawla,126
Pooran,127
Prabhsimran,128
Prithvi Shaw,129
Priyam Garg,130
Rabada,131
Rachin Ravindra,132
Rahmanullah Gurbaz ,133
Rahul Tripathi,134
Rajapaksa,135
Ramandeep Singh,136
Rashid Khan,137
Rasikh Salam,138
Ravi Bishnoi,139
Ravichandran Ashwin,140
Ravindra Jadeja,141
Raza,142
Ricky Bhui,143
Rilee Rossouw,144
Riley Meredith,145
Rinku Singh,146
Ripal Patel,147
Rishabh Pant (c),148
Riyan Parag,149
Rohit Sharma (c),150
Romario Shepherd,151
Rovman Powell,152
Ruturaj Gaikwad (c),153
S Dhawan,154
SS Prabhudessai,155
Saha,156
Sai Kishore,157
Sam Curran,158
Sameer Rizvi,159
Sandeep Sharma,160
Sanju Samson (c),161
Sanvir Singh,162
Sarfaraz Khan ,163
Shahbaz Ahmed,164
Shahrukh Khan,165
Shai Hope,166
Shami,167
Shams Mulani,168
Shankar,169
Sharath,170
Shardul Thakur,171
Shashank Singh,172
Shimron Hetmyer,173
Shivam Dube,174
Shivam Singh,175
Shreyas Iyer (c),176
Shubham Dubey,177
Sikandar Raza,178
Stoinis,179
Sumit Kumar,180
Sunil Narine,181
Suryakumar Yadav,182
Suthar,183
Swapnil,184
Tanush Kotian,185
Tewatia,186
Tilak Varma,187
Tim David,188
Tom Kohler-Cadmore,189
Travis Head,190
Trent Boult,191
Tristan Stubbs,192
Turner,193
Tushar Deshpande,194
Umesh Yadav,195
Umran Malik,196
Unknown,197
Vaibhav Arora,198
Varun Chakravarthy,199
Venkatesh Iyer,200
Vijaykumar Vyshak,201
Virat Kohli (c),202
Vishnu Vinod ,203
Wade,204
Wanindu Hasaranga,205
Washington Sundar,206
Wayne Parnell,207
Williamson,208
Yash Dhull,209
Yudhvir Singh,210
de Kock,211
