player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Prabhsimran Singh,batsman,34,34,,756,517,,,22.23,146.22
Shikhar Dhawan (c),batsman,222,221,,6769,5324,,,35.25,127.14
Bhanuka Rajapaksa,batsman,13,13,,277,191,,,23.08,145.02
Jitesh Sharma †,batsman,40,36,,730,483,,,22.81,151.13
Sikandar Raza,batsman,9,9,,182,136,,,26.00,133.82
M Shahrukh Khan,batsman,40,38,,553,391,,,19.75,141.43
Sam Curran,batsman,59,48,,883,647,,,25.22,136.47
"Harpreet Brar,",batsman,41,24,,233,190,,,21.18,122.63
"Nathan Ellis,",batsman,16,5,,19,25,,,4.75,76.00
"Rahul Chahar,",batsman,78,24,,129,124,,,8.06,104.03
Arshdeep Singh,batsman,65,12,,29,40,,,5.80,72.50
